Prompt:,"IName:,","Completion:,",Status:,IDescription:,"Needed: Elden Ring, DS2,DS3",IType:
Prompt:,"IName:,","Completion:,",Item Name,IDescription:,Item Description,IType:
Prompt:,"IName:,","Completion:,",A Call Beyond,IDescription:,"One of the secret rites of the Choir. Long ago, the Healing Church used phantasms to reach a lofty plane of darkness, but failed to make contact with the outer reaches of the cosmos. The rite failed to achieve its intended purpose, but instead created a small exploding star, now a powerful part of the Choir's arsenal. At times, failure is the mother of invention.",IType:
Prompt:,"IName:,","Completion:,",A Call Beyond,IDescription:,"One of the secret rites of the Choir.
Long ago, the Healing Church used phantasms to reach a lofty plane of darkness,
but failed to make contact with the outer reaches of the cosmos.
The rite failed to achieve its intended purpose, but instead created a small exploding star,
now a powerful part of the Choir's arsenal. At times, failure is the mother of invention.",IType:
Prompt:,"IName:,","Completion:,",Abyss Seal,IDescription:,"Ring of the Pilgrims of Dark covenant . Increases the attack strength of hexes, but casting them reduces HP. What is dark? Perhaps we already know. We fear the dark, yet find solace in it. Those who join this covenant can see the hidden Dark Chasm.",IType:
Prompt:,"IName:,","Completion:,",Accursed Brew,IDescription:,"Skull of a local from the violated fishing village. The inside of the skull was forcibly searched for eyes, as evidenced by innumerable scratches and indentations. No wonder the skull became stewed in curses. They who offer baneful chants. Weep with them, as one in trance",IType:
Prompt:,"IName:,","Completion:,",Agape Ring,IDescription:,"A ring affixed with an open vessel. The vessel insatiably absorbs souls in place of its wearer, who is left unaware even of their collection. All things are rooted in souls, but what drives our thirst for them? Abstinence from this elixir may be the truest homage to an enduring self",IType:
Prompt:,"IName:,","Completion:,",Aged Feather,IDescription:,"An aged bird feather.
Return to last bonfire rested at.
Can be used repeatedly.
The child of the dragon, sequestered away from the world, imagined a world of boundless possibilities from the mere sight of a feather.",IType:
Prompt:,"IName:,","Completion:,",Aldrich's Ruby,IDescription:,"A malformed ring left by Aldrich, Saint of the Deep. Recovers HP from critical attacks.

Aldrich, infamous for his appetite for flesh apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams.",IType:
Prompt:,"IName:,","Completion:,",Aldrich's Sapphire,IDescription:,"A malformed ring left by Aldrich, Saint of the Deep. Recovers FP from critical attacks.

Aldrich, infamous for his appetite for flesh, apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams.",IType:
Prompt:,"IName:,","Completion:,",Ancient Dragon Seal,IDescription:,"Ring of the Dragon Remnants covenant. Slightly increases Estus Flask HP recovery.

Possessing a dragon scale is proof of its owner's prowess. Strength should always be displayed boldly, and meted out justly.

Members of the covenant who bear dragon scales can fight with one another. The survivor of the duel claims the dragon scale of the opponent.",IType:
